Date : 2024-06-25 14:25:31
Directory : c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds
Total : 770 files,  43166 codes, 2759 comments, 10808 blanks, all 56733 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Lua          |        673 |     39,564 |      2,684 |      9,916 |     52,164 |
| Markdown     |         28 |      1,477 |          0 |        455 |      1,932 |
| TOML         |         32 |        957 |         19 |        166 |      1,142 |
| Rust         |         16 |        734 |         49 |        205 |        988 |
| YAML         |          6 |        242 |          3 |         46 |        291 |
| JSON         |         12 |        179 |          0 |         15 |        194 |
| Shell Script |          1 |          9 |          4 |          5 |         18 |
| Batch        |          2 |          4 |          0 |          0 |          4 |
+--------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                                    |        770 |     43,166 |      2,759 |     10,808 |     56,733 |
| . (Files)                                                                                                                                                                            |         10 |        147 |          6 |         39 |        192 |
| Packages                                                                                                                                                                             |        469 |     28,351 |      1,669 |      6,300 |     36,320 |
| Packages (Files)                                                                                                                                                                     |         11 |         13 |          0 |         11 |         24 |
| Packages\_Index                                                                                                                                                                      |        458 |     28,338 |      1,669 |      6,289 |     36,296 |
| Packages\_Index\data-oriented-house_sandwich@2.2.1                                                                                                                                   |          2 |        158 |         18 |         41 |        217 |
| Packages\_Index\data-oriented-house_sandwich@2.2.1\sandwich                                                                                                                          |          2 |        158 |         18 |         41 |        217 |
| Packages\_Index\data-oriented-house_squash@1.1.6                                                                                                                                     |          2 |      2,256 |        236 |        343 |      2,835 |
| Packages\_Index\data-oriented-house_squash@1.1.6\squash                                                                                                                              |          2 |      2,256 |        236 |        343 |      2,835 |
| Packages\_Index\data-oriented-house_stew@5.6.0                                                                                                                                       |          2 |        750 |         53 |        209 |      1,012 |
| Packages\_Index\data-oriented-house_stew@5.6.0\stew                                                                                                                                  |          2 |        750 |         53 |        209 |      1,012 |
| Packages\_Index\data-oriented-house_tablevalue@3.0.0                                                                                                                                 |          2 |        127 |         23 |         47 |        197 |
| Packages\_Index\data-oriented-house_tablevalue@3.0.0\tablevalue                                                                                                                      |          2 |        127 |         23 |         47 |        197 |
| Packages\_Index\evaera_cmdr@1.12.0                                                                                                                                                   |         85 |      3,949 |        195 |        815 |      4,959 |
| Packages\_Index\evaera_cmdr@1.12.0\cmdr                                                                                                                                              |         85 |      3,949 |        195 |        815 |      4,959 |
| Packages\_Index\evaera_cmdr@1.12.0\cmdr (Files)                                                                                                                                      |          8 |        239 |          3 |         50 |        292 |
| Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr                                                                                                                                         |         77 |      3,710 |        192 |        765 |      4,667 |
| Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr (Files)                                                                                                                                 |          3 |        256 |          2 |         42 |        300 |
| Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands                                                                                                                         |         47 |      1,074 |          6 |        147 |      1,227 |
| Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands (Files)                                                                                                                 |          1 |         58 |          2 |          5 |         65 |
| Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Admin                                                                                                                   |         12 |        174 |          0 |         17 |        191 |
| Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Debug                                                                                                                   |         10 |        151 |          4 |         24 |        179 |
| Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInCommands\Utility                                                                                                                 |         24 |        691 |          0 |        101 |        792 |
| Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\BuiltInTypes                                                                                                                            |         17 |        628 |         13 |        136 |        777 |
| Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\CmdrClient                                                                                                                              |          5 |        625 |         67 |        156 |        848 |
| Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\CmdrClient (Files)                                                                                                                      |          2 |        103 |         14 |         25 |        142 |
| Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\CmdrClient\CmdrInterface                                                                                                                |          3 |        522 |         53 |        131 |        706 |
| Packages\_Index\evaera_cmdr@1.12.0\cmdr\Cmdr\Shared                                                                                                                                  |          5 |      1,127 |        104 |        284 |      1,515 |
| Packages\_Index\evaera_promise@4.0.0                                                                                                                                                 |        326 |     14,239 |        424 |      3,758 |     18,421 |
| Packages\_Index\evaera_promise@4.0.0\promise                                                                                                                                         |        326 |     14,239 |        424 |      3,758 |     18,421 |
| Packages\_Index\evaera_promise@4.0.0\promise (Files)                                                                                                                                 |         12 |        261 |          1 |         72 |        334 |
| Packages\_Index\evaera_promise@4.0.0\promise\docs                                                                                                                                    |          5 |        440 |          0 |        166 |        606 |
| Packages\_Index\evaera_promise@4.0.0\promise\lib                                                                                                                                     |          2 |      2,946 |        157 |        811 |      3,914 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules                                                                                                                                 |        307 |     10,592 |        266 |      2,709 |     13,567 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez                                                                                                                          |        307 |     10,592 |        266 |      2,709 |     13,567 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez (Files)                                                                                                                  |         11 |        841 |          2 |        151 |        994 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\.github                                                                                                                  |          3 |        141 |          2 |         36 |        179 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\.github\workflows                                                                                                        |          3 |        141 |          2 |         36 |        179 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\docs                                                                                                                     |          6 |        171 |          0 |         61 |        232 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\docs (Files)                                                                                                             |          2 |         94 |          0 |         34 |        128 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\docs\getting-started                                                                                                     |          4 |         77 |          0 |         27 |        104 |
| Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules                                                                                                                  |        228 |      6,450 |         83 |      1,696 |      8,229 |
